work,workLabel,author,authorLabel,ethnicityLabel
http://www.wikidata.org/entity/Q18354521,Sanaaq,http://www.wikidata.org/entity/Q42008145,Mitiarjuk Nappaaluk,Inuit
http://www.wikidata.org/entity/Q22811618,"Acts of French royal administration concerning Canada, Guiana, the West Indies and Louisiane, prior to 1791",http://www.wikidata.org/entity/Q16,Canada,Inuit
http://www.wikidata.org/entity/Q85802652,Split Tooth,http://www.wikidata.org/entity/Q759716,Tagaq,Inuit
http://www.wikidata.org/entity/Q96606826,The Right to Be Cold,http://www.wikidata.org/entity/Q486584,Sheila Watt-Cloutier,Inuit
http://www.wikidata.org/entity/Q5309534,Dry Lips Oughta Move to Kapuskasing,http://www.wikidata.org/entity/Q3531436,Tomson Highway,Cree
http://www.wikidata.org/entity/Q6417110,Kiss of the Fur Queen,http://www.wikidata.org/entity/Q3531436,Tomson Highway,Cree
http://www.wikidata.org/entity/Q7367625,Rose,http://www.wikidata.org/entity/Q3531436,Tomson Highway,Cree
http://www.wikidata.org/entity/Q7760599,The Rez Sisters,http://www.wikidata.org/entity/Q3531436,Tomson Highway,Cree
http://www.wikidata.org/entity/Q61068417,Elements of Indigenous Style: A Guide for Writing By and About Indigenous Peoples,http://www.wikidata.org/entity/Q61058169,Greg Younging,Cree
http://www.wikidata.org/entity/Q105422601,Red Spider White Web,http://www.wikidata.org/entity/Q55703384,Misha,Cree
http://www.wikidata.org/entity/Q106367885,From the Ashes,http://www.wikidata.org/entity/Q42675465,Jesse Thistle,Cree
http://www.wikidata.org/entity/Q106368181,Disintegrate/Dissociate,http://www.wikidata.org/entity/Q98825213,Arielle Twist,Cree
http://www.wikidata.org/entity/Q127520820,Talk Treaty to Me,http://www.wikidata.org/entity/Q125849437,Theresa Cutknife,Cree
http://www.wikidata.org/entity/Q3210486,The Plague of Doves,http://www.wikidata.org/entity/Q442679,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q6077660,Love Medicine,http://www.wikidata.org/entity/Q442679,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q6116759,Jacklight,http://www.wikidata.org/entity/Q442679,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q7750582,The Master Butchers Singing Club,http://www.wikidata.org/entity/Q442679,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q7759852,The Red Convertible,http://www.wikidata.org/entity/Q442679,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q7831586,Tracks,http://www.wikidata.org/entity/Q442679,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q17002301,The Birchbark House,http://www.wikidata.org/entity/Q442679,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q17010474,The Round House,http://www.wikidata.org/entity/Q442679,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q17013508,The Game of Silence,http://www.wikidata.org/entity/Q442679,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q18786624,Medicine Walk,http://www.wikidata.org/entity/Q7329740,Richard Wagamese,Ojibwe
http://www.wikidata.org/entity/Q25218649,LaRose,http://www.wikidata.org/entity/Q442679,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q39045396,Indian Horse,http://www.wikidata.org/entity/Q7329740,Richard Wagamese,Ojibwe
http://www.wikidata.org/entity/Q42184127,The Antelope Wife,http://www.wikidata.org/entity/Q442679,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q42184151,The Beet Queen,http://www.wikidata.org/entity/Q442679,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q42184184,The Bingo Palace,http://www.wikidata.org/entity/Q442679,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q42184421,The Crown of Columbus,http://www.wikidata.org/entity/Q442679,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q42186486,Tales of Burning Love,http://www.wikidata.org/entity/Q442679,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q43147058,Future Home of the Living God,http://www.wikidata.org/entity/Q442679,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q48966906,Original Local,http://www.wikidata.org/entity/Q17612384,Heid E. Erdrich,Ojibwe
http://www.wikidata.org/entity/Q65067818,The Last Report on the Miracles at Little No Horse,http://www.wikidata.org/entity/Q442679,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q65118369,Four Souls,http://www.wikidata.org/entity/Q442679,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q104093574,All We Can Save,http://www.wikidata.org/entity/Q104094025,Tara Houska,Ojibwe
http://www.wikidata.org/entity/Q108907129,The Night Watchman,http://www.wikidata.org/entity/Q442679,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q114743542,Old Man Potchikoo,http://www.wikidata.org/entity/Q442679,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q121812052,Q121812052,http://www.wikidata.org/entity/Q442679,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q130369414,Daughters of the Deer,http://www.wikidata.org/entity/Q114767318,Danielle Daniel,Ojibwe
http://www.wikidata.org/entity/Q132427456,The Mighty Red,http://www.wikidata.org/entity/Q442679,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q134611463,The Painted Drum,http://www.wikidata.org/entity/Q442679,Louise Erdrich,Ojibwe
http://www.wikidata.org/entity/Q29828869,The Unnatural and Accidental Women,http://www.wikidata.org/entity/Q6762801,Marie Clements,Métis
http://www.wikidata.org/entity/Q60756135,The Marrow Thieves,http://www.wikidata.org/entity/Q42308137,Cherie Dimaline,Métis
http://www.wikidata.org/entity/Q65082511,Birdie,http://www.wikidata.org/entity/Q22278865,Tracey Lindberg,Métis
http://www.wikidata.org/entity/Q105422601,Red Spider White Web,http://www.wikidata.org/entity/Q55703384,Misha,Métis
http://www.wikidata.org/entity/Q105877331,The Pemmican Eaters,http://www.wikidata.org/entity/Q6763522,Marilyn Dumont,Métis
http://www.wikidata.org/entity/Q105878366,A Really Good Brown Girl,http://www.wikidata.org/entity/Q6763522,Marilyn Dumont,Métis
http://www.wikidata.org/entity/Q106147549,green girl dreams Mountains,http://www.wikidata.org/entity/Q6763522,Marilyn Dumont,Métis
http://www.wikidata.org/entity/Q106148067,that tongued belonging,http://www.wikidata.org/entity/Q6763522,Marilyn Dumont,Métis
http://www.wikidata.org/entity/Q106367885,From the Ashes,http://www.wikidata.org/entity/Q42675465,Jesse Thistle,Métis
http://www.wikidata.org/entity/Q110275795,Empire of Wild,http://www.wikidata.org/entity/Q42308137,Cherie Dimaline,Métis
http://www.wikidata.org/entity/Q117288689,The Break,http://www.wikidata.org/entity/Q16211133,Katherena Vermette,Métis
http://www.wikidata.org/entity/Q124260886,Tick Talk,http://www.wikidata.org/entity/Q42308137,Cherie Dimaline,Métis
http://www.wikidata.org/entity/Q127706363,You used to call me Marie...,http://www.wikidata.org/entity/Q125849624,Tai Amy Grauman,Métis
http://www.wikidata.org/entity/Q128796700,Rougarou,http://www.wikidata.org/entity/Q128796659,Damion LeClair,Métis
http://www.wikidata.org/entity/Q130634113,Tombs of the Vanishing Indian,http://www.wikidata.org/entity/Q6762801,Marie Clements,Métis
http://www.wikidata.org/entity/Q133561722,Funeral Songs for Dying Girls,http://www.wikidata.org/entity/Q42308137,Cherie Dimaline,Métis
http://www.wikidata.org/entity/Q134272388,Q134272388,http://www.wikidata.org/entity/Q65116392,Moe Clark,Métis
